Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2010-04-16,321.18267822265625,326.2658146654808,319.9020454960103,322.719447114769,3810958
2010-04-19,319.9415283203125,325.08375749239514,315.5282652267096,319.17314371980615,6947704
2010-04-20,311.0951843261719,328.0980529756609,310.1100824125361,325.0836314997996,12016986
2010-04-21,309.3220520019531,314.83862363001344,307.45035805671836,313.2624603077105,7107490
2010-04-22,309.6964416503906,312.7305613070412,307.7459344389476,310.9376560210564,4751116
2010-04-23,307.4306335449219,312.08031012305054,306.3667185867068,310.52384417032306,4306068
2010-04-26,309.3614196777344,311.6862699969634,307.43063420530325,309.7160660146817,2512548
2010-04-27,310.2283020019531,311.2528224625287,307.76554712125306,309.6963565678582,2621234
2010-04-28,303.5295715332031,308.908237153709,301.4411604603428,307.35177144976126,2400382
2010-04-29,299.3724060058594,305.480036533126,297.73712756713485,305.4209208111155,4622964
2010-04-30,301.59893798828125,304.51482644535156,300.4759069055378,301.4413119958559,3690224
2010-05-03,302.1505432128906,303.96314569853115,297.14621920630117,299.96362112999253,2416560
2010-05-04,299.8648681640625,305.32232033640497,298.2098929909365,305.32232033640497,2896028
2010-05-05,301.7367248535156,302.6233166013712,291.6492905869394,295.5305826185265,4371230
2010-05-06,302.2686767578125,303.766050982098,299.1557689844115,302.6036258554936,2580872
2010-05-07,292.1418151855469,300.49545965985243,289.61994482138863,298.2888411289676,4267152
2010-05-10,303.5099182128906,332.1763856585093,293.56038827472054,299.47100011917803,2327814
2010-05-11,298.0130310058594,306.95776133889655,297.0673475834147,305.38159825114866,1351288
2010-05-12,299.2542724609375,302.6036190604929,295.96401754764054,298.2888677486446,2740076
2010-05-13,301.6775817871094,304.67230584988164,300.042327141633,301.48056141654564,1321452
2010-05-14,300.9880065917969,306.16965189064763,297.50075569811963,301.83520379438363,2026996
2010-05-17,293.8559265136719,305.36192268036,289.26534157488373,305.36192268036,3722050
2010-05-18,289.6594543457031,293.95450975175936,286.19189925521573,293.95450975175936,3199180
2010-05-19,284.3004455566406,288.8319148898372,282.25142852634406,287.6497924550903,3929266
2010-05-20,287.6496887207031,288.5559774504413,282.1922350685329,287.2556480512227,2398092
2010-05-21,283.1971740722656,286.0342731061943,270.0165023471826,279.7690137416996,2675092
2010-05-24,282.7636413574219,287.6497564292323,280.83285605268964,285.67955261807316,2885428
2010-05-25,275.6512451171875,281.34513965843865,272.49891862241503,278.9808947873594,2297366
2010-05-26,290.80224609375,293.4817199739741,277.4442471205219,278.9810165777439,3689464
2010-05-27,292.319091796875,295.5108359857582,286.54640981168393,289.6199225470136,6883872
2010-05-28,295.8457946777344,296.90970952858146,289.8169759233864,295.4517539218902,2479374
2010-05-31,292.7919921875,296.6733082399719,290.8020910897049,294.93951921496495,3327660
2010-06-01,291.27490234375,296.29892147734637,289.50171912012775,292.79194948160324,3136912
2010-06-02,297.2052307128906,299.27394461576455,290.13219455871103,290.7232556738179,2769330
2010-06-03,301.61846923828125,303.01730896243583,293.5997262809199,299.4709425376479,1684434
2010-06-04,301.5790710449219,303.2931626958643,297.5795719600659,301.61848954916474,1368210
2010-06-07,296.81121826171875,298.6040990050404,290.0140147900763,295.491191265623,1734922
2010-06-08,295.609375,300.25905103269577,294.3484397918947,297.10672503760185,2242222
2010-06-09,288.8516845703125,298.8997277859182,288.0439055140296,296.3187646327637,4867400
2010-06-10,295.7276306152344,296.7127326492625,287.649793936204,287.649793936204,1796036
2010-06-11,299.1162414550781,300.7712169600673,295.9245218778599,300.1801559975949,3237024
2010-06-14,307.74591064453125,310.1495502624618,298.6829708944362,300.7910798683419,3550492
2010-06-15,303.4288024902344,308.0232227133773,299.6859654467008,299.6859654467008,2642976
2010-06-16,306.8745422363281,308.9143091561408,303.9040219691189,307.7854969501078,2328816
2010-06-17,307.07257080078125,310.83522973092226,302.47817588206067,307.745893549427,1528920
2010-06-18,310.2014465332031,312.459046130138,305.8644833395924,307.07248973711717,2225672
2010-06-21,311.98370361328125,314.47893465798035,310.7558746283917,314.0432682216889,1907428
2010-06-22,308.39947509765625,311.50861049138376,306.28048911683624,310.9145063391433,1468324
2010-06-23,311.4292297363281,312.47882286219146,304.9138860884559,304.97330614242827,2959524
2010-06-24,306.3398742675781,312.30071374713395,304.06247527703147,311.4293562550499,3777510
2010-06-25,300.4185485839844,307.2705422864027,299.46797264326085,307.2705422864027,2037322
2010-06-28,302.8940124511719,303.8445884887739,300.0621071436868,300.39878057015756,1153124
2010-06-29,298.5570068359375,302.99298743451453,296.65587920059005,302.99298743451453,2614662
2010-06-30,297.44818115234375,300.9732092138276,293.58650370063225,299.03245908125103,3316516
2010-07-01,289.9226989746094,297.0519456707063,287.44726609402016,297.0519456707063,3407744
2010-07-02,294.59637451171875,295.46773190713367,289.46727164981365,291.0317504002386,2943550
2010-07-05,292.6951599121094,296.6162549445963,291.94261870817036,296.5766335172511,2165596
2010-07-06,300.67596435546875,301.765154733373,291.4475319960899,291.7049866641625,2760904
2010-07-07,302.8346252441406,303.94363879973315,296.6361542184207,301.56722262201566,2152934
2010-07-08,307.66668701171875,308.5380444753636,304.8348054725683,305.7655588382294,2187564
2010-07-09,306.7357482910156,310.5182037183173,305.2702876478228,308.93392716873404,1836666
2010-07-12,313.56817626953125,314.47913113445907,308.8549403271972,308.8549403271972,2725776
2010-07-13,306.8151550292969,313.6869491058289,304.7951866858639,313.6869491058289,5545886
2010-07-14,306.8151550292969,310.79564746531605,305.0724400868241,308.1419777832511,2833842
2010-07-15,309.76580810546875,310.87482155011065,303.0920496770467,305.3694482861849,3795536
2010-07-16,330.18310546875,332.10403146109076,314.8750208843973,314.8750208843973,19135452
2010-07-19,327.43048095703125,330.5990352197355,326.06403709640995,329.3118100505119,3027924
2010-07-20,327.6483459472656,330.5396471570588,326.75718997460757,327.4305126554464,2342062
2010-07-21,333.8865051269531,334.59942521410085,328.57916548255554,329.52974171485766,2943720
2010-07-22,334.1636047363281,335.0745591047386,329.7276246509396,333.88635144833887,1362882
2010-07-23,332.42095947265625,336.6589058279085,330.7574635737351,336.6589058279085,1894472
2010-07-26,336.36187744140625,337.2926306943087,332.8566735516252,333.64881220912633,2766490
2010-07-27,336.3222351074219,340.54035838884965,335.1538259093564,338.6392307004491,2106602
2010-07-28,338.4213562011719,339.8075984971309,335.4706356220868,337.05491253175427,4359228
2010-07-29,337.4488830566406,339.43387648638554,337.05188437069165,339.43387648638554,5331904
2010-07-30,333.3994445800781,337.4488354516729,331.4938560025257,337.05183682172975,1283426
2010-08-02,332.80389404296875,336.83343919246175,332.2878007517743,334.66979215501283,2827762
2010-08-03,330.3226318359375,335.26526852718325,328.9331369397325,333.87577363097824,1281552
2010-08-04,344.9123229980469,346.18272315856376,331.8312163994941,331.890775872201,5583934
2010-08-05,348.50518798828125,350.3115508820583,343.66182477719923,346.18275602609634,2912950
2010-08-06,343.28460693359375,350.74817386866675,341.6767678588069,349.3586791221582,2437734
2010-08-09,349.29913330078125,350.8275921201711,335.90043343601104,341.87528046410534,4259986
2010-08-10,343.20526123046875,351.3437318553671,341.97457536490515,351.3437318553671,1545194
2010-08-11,340.6842956542969,346.5797140881925,339.35433605026066,342.21273029097586,4020248
2010-08-12,338.8184814453125,340.1881315481126,335.94024141327344,340.1881315481126,2278092
2010-08-13,339.19549560546875,342.569982532273,332.68471113670114,340.2276819142636,2589906
2010-08-16,339.0764465332031,342.4310890741501,336.97235909744796,340.22775200245485,1319098
2010-08-17,337.5283203125,341.81590168960844,335.0669233751795,337.4886059015347,1733196
2010-08-18,345.8253479003906,347.69124550363574,337.44869010885714,338.63968548571194,2888916
2010-08-19,346.2026062011719,349.7160581661823,344.3168629496669,346.97675827691114,2148534
2010-08-20,344.97198486328125,349.31912496601564,342.6098380283822,344.99182994978463,1746396
2010-08-23,345.54754638671875,347.55238421093406,340.2476012244961,341.41875178901586,1049830
2010-08-24,345.6666564941406,350.11304528249576,343.4037598202495,345.3887526515804,2650474
2010-08-25,345.865234375,349.95431569060975,343.9199312658786,346.18282845401217,2379968
2010-08-26,347.96917724609375,348.96167347326457,341.5179517694833,346.9766810189229,4204428
2010-08-27,339.8505554199219,346.5796847290472,337.8457178744778,346.2223763926506,1276514
2010-08-30,335.7218933105469,342.5304051174995,333.51853158081104,342.5304051174995,1558570
2010-08-31,334.9675598144531,336.5357090887957,329.58823377412557,333.47881510416664,2447874
2010-09-01,340.7835998535156,341.81578649669734,333.47881609433887,334.27281327551583,2745484
2010-09-02,335.1065368652344,344.39631458204474,334.0743501104215,344.39631458204474,2758800
2010-09-03,332.406982421875,338.0443683969243,331.5335804993953,337.4488703903531,2777970
2010-09-06,339.57281494140625,340.4263718050466,332.6848974607919,332.6848974607919,2287978
2010-09-07,345.9246520996094,347.3340162359657,339.83073448547015,340.6247315286605,2484236
2010-09-08,348.9815673828125,350.5100263250439,340.9820612110052,343.00674410539114,4189478
2010-09-09,347.2545166015625,350.351099375937,345.92455737986296,350.15260016949173,2938158
2010-09-13,349.2594299316406,352.931666051979,345.6665983573746,345.9246328435277,2349410
2010-09-14,355.45263671875,356.9016910968632,349.47781347703955,350.5497143921359,3071038
